"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","This is a skipped test","IGNORED","2019-11-21T13:41:45.442-06:00[America/Chicago]","0.0","0.69"
"Students CRUD test","This test will create a new student","SUCCESS","2019-11-21T13:41:45.511-06:00[America/Chicago]","0.0","6.47"
"First serenity test","This is atest with error","ERROR","2019-11-21T13:41:46.777-06:00[America/Chicago]","0.0","0.3"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2019-11-21T13:41:47.089-06:00[America/Chicago]","0.0","5.22"
"First serenity test","This is a pending test","PENDING","2019-11-21T13:41:52.311-06:00[America/Chicago]","0.0","0.41"
"First serenity test","This is a manual test","PENDING","2019-11-21T13:41:52.725-06:00[America/Chicago]","0.0","0.31"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2019-11-21T13:41:52.944-06:00[America/Chicago]","0.0","1.15"
"First serenity test","This isa failing","FAILURE","2019-11-21T13:41:53.037-06:00[America/Chicago]","0.0","0.76"
"First serenity test","File does not exist","COMPROMISED","2019-11-21T13:41:53.808-06:00[America/Chicago]","0.0","0.22"
"First serenity test","Get all students","SUCCESS","2019-11-21T13:41:54.028-06:00[America/Chicago]","0.0","0.3"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2019-11-21T13:41:54.09-06:00[America/Chicago]","0.0","0.59"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2019-11-21T13:41:54.684-06:00[America/Chicago]","0.0","0.53"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2019-11-21T13:41:57.433-06:00[America/Chicago]","0.0","0.36"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2019-11-21T13:41:57.792-06:00[America/Chicago]","0.0","0.34"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2019-11-21T13:41:58.136-06:00[America/Chicago]","0.0","0.33"
"Create students data driven test","DataDriven Test for adding multiple students to the Student App.","SUCCESS","2019-11-21T13:42:19.595-06:00[America/Chicago]","0.0","96.33"
